ref,dossier_id,plan_storage_path,expert_f,cat1,cat2,cat3
24-524484,86d0b6d1-5897-495f-8acd-2bdb3da0947e,00000000-0000-0000-0000-000000000001/86d0b6d1-5897-495f-8acd-2bdb3da0947e/plan-24-524484_Plannen.pdf,1.017,2444,3578,708
25-545328,6435b5be-29dc-4602-9b9f-38858e7a8ff2,00000000-0000-0000-0000-000000000001/6435b5be-29dc-4602-9b9f-38858e7a8ff2/plan-25-545328_Plannen.pdf,0.953,375,90,0
25-535457,831d68d0-f859-4a92-9e60-d3bb5ac71e7c,00000000-0000-0000-0000-000000000001/831d68d0-f859-4a92-9e60-d3bb5ac71e7c/plan-25-535457_Plannen.pdf,0.966,2363,1183,136
25-547281,76562a1e-f880-41b4-8489-2923470073e4,00000000-0000-0000-0000-000000000001/76562a1e-f880-41b4-8489-2923470073e4/plan-25-547281_Plannen.pdf,1.016,805,40,40
25-539008,b051200a-a0b0-4edb-8e42-e52795517062,00000000-0000-0000-0000-000000000001/b051200a-a0b0-4edb-8e42-e52795517062/plan-25-539008_Plannen.pdf,1.068,1553,845,516
25-534955,c68f3711-249a-4ed9-b02f-888df51c1d20,00000000-0000-0000-0000-000000000001/c68f3711-249a-4ed9-b02f-888df51c1d20/plan-25-534955_Plannen.pdf,1.066,614,1434,847
25-533575,cbc0111d-a52f-4109-a61a-9778217946a8,00000000-0000-0000-0000-000000000001/cbc0111d-a52f-4109-a61a-9778217946a8/plan-25-533575_Plannen.pdf,0.966,546,382,5
25-545388,3ec553e5-2358-4d0f-8a6c-1813edc56af9,00000000-0000-0000-0000-000000000001/3ec553e5-2358-4d0f-8a6c-1813edc56af9/plan-25-545388_Plannen.pdf,1.072,229,74,21
24-524260,fc250138-6be3-407a-95eb-9cfd5c8b18a8,00000000-0000-0000-0000-000000000001/fc250138-6be3-407a-95eb-9cfd5c8b18a8/plan-24-524260_Plannen.pdf,0.974,106,200,0
26-550380,b80c50d0-4ce9-4c4d-afe8-c2e2175340d4,00000000-0000-0000-0000-000000000001/b80c50d0-4ce9-4c4d-afe8-c2e2175340d4/plan-26-550380_Plannen.pdf,1.187,974,90,140
25-533859,9aae70a2-915b-4554-b65f-130108da9c20,00000000-0000-0000-0000-000000000001/9aae70a2-915b-4554-b65f-130108da9c20/plan-25-533859_Plannen.pdf,1.125,180,47,0
25-534038,4a6758bf-23da-4914-88b6-d4d6a7f11433,00000000-0000-0000-0000-000000000001/4a6758bf-23da-4914-88b6-d4d6a7f11433/plan-25-534038_Plannen.pdf,1.141,482,102,0
26-548923,e0de50dd-a957-4ad8-ac78-df5db7e803cd,00000000-0000-0000-0000-000000000001/e0de50dd-a957-4ad8-ac78-df5db7e803cd/plan-26-548923_Plannen.pdf,1.199,697,526,0
25-534034,5fe455bc-760e-4c4a-9155-3c2769c0e6f6,00000000-0000-0000-0000-000000000001/5fe455bc-760e-4c4a-9155-3c2769c0e6f6/plan-25-534034_Plannen.pdf,1.164,177,55,0
25-531984,72116b8e-2e67-4a69-ae97-341b7e89de64,00000000-0000-0000-0000-000000000001/72116b8e-2e67-4a69-ae97-341b7e89de64/plan-25-531984_Plannen.pdf,1.127,301,154,93
25-545714,62918b3d-f984-4479-a2a8-5b5856049b53,00000000-0000-0000-0000-000000000001/62918b3d-f984-4479-a2a8-5b5856049b53/plan-25-545714_Plannen.pdf,1.254,249,354,29
25-544992,bb9f8a28-d494-4de0-8bd9-411fcbce8dca,00000000-0000-0000-0000-000000000001/bb9f8a28-d494-4de0-8bd9-411fcbce8dca/plan-25-544992_Plannen.pdf,1.124,249,881,191
25-545571,f1108549-3ca1-4da5-aabf-d3a1ff504879,00000000-0000-0000-0000-000000000001/f1108549-3ca1-4da5-aabf-d3a1ff504879/plan-25-545571_Plannen.pdf,1.194,248,143,0
25-540041,c233101a-21ef-40b2-a95a-8072b848255f,00000000-0000-0000-0000-000000000001/c233101a-21ef-40b2-a95a-8072b848255f/plan-25-540041_Plannen.pdf,1.500,629,1446,0
25-528005,cba38cd6-0ccc-49e3-84c2-5978a253a47d,00000000-0000-0000-0000-000000000001/cba38cd6-0ccc-49e3-84c2-5978a253a47d/plan-25-528005_Plannen.pdf,1.500,184,46,18
25-529067,314edc86-f6f4-4e0b-a293-0733fbafa0f6,00000000-0000-0000-0000-000000000001/314edc86-f6f4-4e0b-a293-0733fbafa0f6/plan-25-529067_Plannen.pdf,1.336,532,534,70
26-552710,b71e11ae-dcd6-4b50-918a-9d5ef30a88f2,00000000-0000-0000-0000-000000000001/b71e11ae-dcd6-4b50-918a-9d5ef30a88f2/plan-26-552710_Plannen.pdf,1.500,519,763,147
25-546442,fed4f988-7deb-47d3-8c41-7880b36492d9,00000000-0000-0000-0000-000000000001/fed4f988-7deb-47d3-8c41-7880b36492d9/plan-25-546442_Plannen.pdf,1.500,302,471,0
25-528000,2d7af1b7-3d8a-4ecc-ae0c-3a1ff9a3bcc1,00000000-0000-0000-0000-000000000001/2d7af1b7-3d8a-4ecc-ae0c-3a1ff9a3bcc1/plan-25-528000_Plannen.pdf,1.500,342,318,0
25-528157,f1bde0c2-f7e5-4cd1-ac6b-582c36027205,00000000-0000-0000-0000-000000000001/f1bde0c2-f7e5-4cd1-ac6b-582c36027205/plan-25-528157_Plannen.pdf,1.483,204,477,35
25-526513,005729c0-c59b-436b-82dc-672e988ee9a8,00000000-0000-0000-0000-000000000001/005729c0-c59b-436b-82dc-672e988ee9a8/plan-25-526513_Plannen.pdf,1.500,396,933,0
